to_d,stock,current,forecast,buying,quant,g_act_abs,g_act_pct,g_exp_abs,g_exp_pct
15-01-21,HFG.DE,61,63,61.95,7,0,-0.02,14,0.03
15-01-21,BNTX,101,104,110.4,5,-45,-0.09,15,0.03
15-01-21,NET,77,79,81.53,6,-24,-0.06,12,0.03
15-01-21,PINS,69,72,67.48,10,10,0.02,30,0.04
15-01-21,TWTR,45,46,48.75,2,-6,-0.08,2,0.02
15-01-21,ABNB,169,165,149.56,9,171,0.13,-36,-0.02
16-01-21,AAPL,127,128,131.078,4,-16,-0.03,4,0.01
16-01-21,ADS,71,73,77.23,6,-36,-0.08,12,0.03
16-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
16-01-21,SPWR,31,31,31.78,15,0,-0.02,0,0.0
16-01-21,NIO,56,60,57.21,15,-15,-0.02,60,0.07
16-01-21,SONO,26,26,21.199,25,100,0.23,0,0.0
16-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
16-01-21,MRNA,129,125,146.58,3,-51,-0.12,-12,-0.03
16-01-21,HFG.DE,61,63,61.95,7,0,-0.02,14,0.03
16-01-21,BNTX,101,104,110.4,5,-45,-0.09,15,0.03
16-01-21,NET,77,79,81.53,6,-24,-0.06,12,0.03
16-01-21,PINS,69,72,67.48,10,10,0.02,30,0.04
16-01-21,TWTR,45,46,48.75,2,-6,-0.08,2,0.02
16-01-21,ABNB,169,165,149.56,9,171,0.13,-36,-0.02
17-01-21,AAPL,127,128,131.078,4,-16,-0.03,4,0.01
17-01-21,ADS,71,73,77.23,6,-36,-0.08,12,0.03
17-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
17-01-21,SPWR,31,31,31.78,15,0,-0.02,0,0.0
17-01-21,NIO,56,60,57.21,15,-15,-0.02,60,0.07
17-01-21,SONO,26,26,21.199,25,100,0.23,0,0.0
17-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
17-01-21,MRNA,129,125,146.58,3,-51,-0.12,-12,-0.03
17-01-21,HFG.DE,61,63,61.95,7,0,-0.02,14,0.03
17-01-21,BNTX,101,104,110.4,5,-45,-0.09,15,0.03
17-01-21,NET,77,79,81.53,6,-24,-0.06,12,0.03
17-01-21,PINS,69,72,67.48,10,10,0.02,30,0.04
17-01-21,TWTR,45,46,48.75,2,-6,-0.08,2,0.02
17-01-21,ABNB,169,165,149.56,9,171,0.13,-36,-0.02
18-01-21,AAPL,127,128,131.078,4,-16,-0.03,4,0.01
18-01-21,ADS,71,73,77.23,6,-36,-0.08,12,0.03
18-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
18-01-21,SPWR,31,31,31.78,15,0,-0.02,0,0.0
18-01-21,NIO,56,60,57.21,15,-15,-0.02,60,0.07
18-01-21,SONO,26,26,21.199,25,100,0.23,0,0.0
18-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
18-01-21,MRNA,129,125,146.58,3,-51,-0.12,-12,-0.03
18-01-21,BNTX,101,104,110.4,5,-45,-0.09,15,0.03
18-01-21,NET,77,79,81.53,6,-24,-0.06,12,0.03
18-01-21,PINS,69,72,67.48,10,10,0.02,30,0.04
18-01-21,TWTR,45,46,48.75,2,-6,-0.08,2,0.02
18-01-21,ABNB,169,165,149.56,9,171,0.13,-36,-0.02
19-01-21,AAPL,127,128,131.078,4,-16,-0.03,4,0.01
19-01-21,ADS,72,73,77.23,6,-30,-0.07,6,0.01
19-01-21,DBX,21,22,21.49,24,0,-0.02,24,0.05
19-01-21,SPWR,36,32,31.78,15,60,0.13,-60,-0.11
19-01-21,NIO,58,60,57.21,15,0,0.01,30,0.03
19-01-21,SONO,27,26,21.199,25,125,0.27,-25,-0.04
19-01-21,RVLV,34,34,29.6,15,60,0.15,0,0.0
19-01-21,MRNA,125,125,146.58,3,-63,-0.15,0,0.0
19-01-21,BNTX,104,104,110.4,5,-30,-0.06,0,0.0
